"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.01.2025","118.856","119.781","120.052","118.732","9,26M","-0,77%"
"09.01.2025","119.781","119.625","120.145","119.502","6,61M","0,13%"
"08.01.2025","119.625","121.160","121.160","119.351","10,23M","-1,27%"
"07.01.2025","121.163","120.022","121.713","120.022","11,12M","0,95%"
"06.01.2025","120.022","118.534","120.322","118.534","9,69M","1,26%"
"03.01.2025","118.533","120.125","120.356","118.404","9,80M","-1,33%"
"02.01.2025","120.125","120.283","120.782","119.120","9,37M","-0,13%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90M","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94M","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34M","0,26%"
"23.12.2024","120.767","122.105","122.105","120.617","9,95M","-1,09%"
"20.12.2024","122.102","121.183","122.209","120.700","18,13M","0,75%"
"19.12.2024","121.188","120.768","121.770","120.768","13,68M","0,34%"
"18.12.2024","120.772","124.699","124.699","120.457","19,74M","-3,15%"
"17.12.2024","124.698","123.560","125.301","123.560","17,56M","0,92%"
"16.12.2024","123.560","124.610","124.956","123.495","11,07M","-0,84%"
"13.12.2024","124.612","126.102","126.290","124.578","11,76M","-1,13%"
"12.12.2024","126.042","129.587","129.587","125.829","13,45M","-2,74%"
"11.12.2024","129.593","128.228","130.899","127.362","13,17M","1,06%"
